date,Suspended Matter,Dissolved Organic Matter,Chlorophyl,Turbidity,Salinity,Dissolved Oxygen,pH,Temperature
20 March 2018,0.534133348,0.438507451,,,,,,
20 March 2018,0.534133348,0.575439451,,,,,,
20 March 2018,0.619343005,0.438507451,,,,,,
20 March 2018,0.619343005,0.575439451,,,,,,
23 March 2018,0.511466729,0.456106132,,,,,,
25 March 2018,0.556737118,0.52251414,,,,,,
25 March 2018,0.556737118,0.467386295,,,,,,
25 March 2018,0.520807999,0.52251414,,,,,,
25 March 2018,0.520807999,0.467386295,,,,,,
29 March 2018,0.536255291,0.499230051,,,,,,
01 April 2018,0.535670633,,,,,,,
02 April 2018,0.564759688,,,,,,,23.2707812
03 April 2018,0.550330348,,,,,,,
05 April 2018,0.561582263,,,,,,,41.28895223
06 April 2018,0.606331354,,,,,,,
09 April 2018,0.575674326,,,,,,,
10 April 2018,0.566597592,0.391732002,,,,,,
10 April 2018,0.566597592,0.391535314,,,,,,
13 April 2018,0.565977418,0.522992865,,,,,,
14 April 2018,0.556491602,0.471925963,,,,,,
16 April 2018,0.604387281,0.599096648,,,,,,
17 April 2018,0.555825881,0.530406845,,,,,,
20 April 2018,0.594510802,0.592633671,,,,,,
21 April 2018,0.569985516,0.551799727,,,,,,
24 April 2018,0.578402828,0.557435298,,,,,,
25 April 2018,0.568173765,0.53892932,,,,,,38.81220648
28 April 2018,0.591719531,0.578748598,,,,,,
29 April 2018,0.577385939,0.537264552,,,,,,
02 May 2018,0.593847349,,,,,,,
03 May 2018,0.576617381,0.432580536,,,,,,
06 May 2018,0.602455945,,,,,,,44.90044888
07 May 2018,0.580389766,,,,,,,
10 May 2018,0.618041309,,,,,,,
11 May 2018,0.585808627,,,,,,,
13 May 2018,0.648094844,0.652344138,,,,,,
14 May 2018,0.611772876,0.599934583,,,,,,
16 May 2018,0.61647573,0.61117746,,,,,,
17 May 2018,0.6357088,0.571822123,,,,,,
17 May 2018,0.6357088,0.632607993,,,,,,
17 May 2018,0.611150039,0.571822123,,,,,,
17 May 2018,0.611150039,0.632607993,,,,,,
18 May 2018,0.611083,0.587934497,,,,,,
21 May 2018,0.587199627,0.554917251,,,,,,
21 May 2018,0.587199627,0.605897989,,,,,,
21 May 2018,0.613869145,0.554917251,,,,,,
21 May 2018,0.613869145,0.605897989,,,,,,
21 May 2018,0.626917741,0.554917251,,,,,,
21 May 2018,0.626917741,0.605897989,,,,,,
22 May 2018,0.628588715,,,,,,,
25 May 2018,0.61518894,0.584349439,,,,,,
25 May 2018,0.61518894,0.585906914,,,,,,
